Group,Series,Metric,Q1 '24,Q2 '24,Q3 '24,Q4 '24,Q1 '25,Q2 '25,Q3 '25,Q4 '25,Q1 '26,Q2 '26,Q3 '26,Q4 '26
Rideshare & Delivery,"Uber (Bookings, cc)","Gross Bookings, constant currency",21.0,21.0,20.0,21.0,18.0,18.0,21.0,22.0,21.0,22.0,20.0,
Rideshare & Delivery,Lyft (Bookings),Gross Bookings,21.06,16.63,16.0,14.89,12.7,11.72,16.36,18.59,18.83,22.59,,
Rideshare & Delivery,"DoorDash (Bookings, Organic)","Marketplace GOV, ex-acquisitions",21.0,20.0,19.0,21.0,20.0,23.0,25.0,39.0,24.0,23.0,,
Hotels,"Airbnb (GBV, cc)","Gross Booking Value, ex-FX",12.0,12.0,10.0,15.0,9.0,9.0,12.0,13.0,13.0,15.0,,
Hotels,"Booking.com (GBV, cc)","Gross travel bookings, constant currency",10.0,6.0,9.0,18.0,10.0,9.0,10.0,11.0,8.0,8.0,,
Hotels,Expedia (GBV),Gross Bookings,3.0,6.0,7.0,13.0,4.0,5.0,12.0,11.0,13.0,12.0,6.0,
Hotels,Marriott (RevPAR),Worldwide comparable systemwide RevPAR,4.2,4.9,3.0,5.0,4.1,1.5,0.5,1.9,4.2,3.4,3.75,
Airlines,United Airlines (Revenue),Total operating revenue,9.7,5.7,2.5,7.8,5.4,1.7,2.6,4.8,10.6,16.0,,
Airlines,Delta Air Lines (Revenue),"Operating revenue, adjusted",6.0,5.4,0.28,5.7,3.3,1.0,4.1,1.2,9.4,13.9,,
Cruise,"Royal Caribbean (Net Yields, cc)","Net Yields, constant currency",19.3,13.3,7.9,11.6,4.7,5.3,2.8,3.7,2.0,1.2,,
Cruise,Viking (Net Yield),Net Yield per passenger cruise day,2.83,6.6,11.0,7.4,7.1,8.0,7.1,7.4,9.5,6.2,,
Cruise,Viking (Next-Year Adv. Bookings/PCD),"Advance Bookings per PCD, following season, vs. same point a year earlier",12.0,10.0,7.0,7.0,4.0,5.0,5.5,6.0,11.0,10.0,,
Payments,"Mastercard (TPV, cc)","Purchase volume, local currency",11.0,10.0,11.0,13.0,10.0,10.0,10.0,9.0,9.0,10.0,,
Payments,"Visa (TPV, cc)","Payments volume, constant dollars",8.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,,
Payments,American Express (Billed Business),Billed business,6.22,5.46,5.76,7.53,5.56,7.24,8.7,8.99,10.48,9.49,,
Payments,JPMorgan (Credit + Debit Volume),Debit and credit card sales volume,8.62,7.0,6.36,8.3,6.66,7.38,8.58,7.31,8.67,9.98,,
Payments,Capital One (Purchase Volume),Credit Card purchase volume,6.01,4.56,4.77,6.7,5.18,21.99,38.61,38.03,39.63,25.96,,
Payments,"Block (Square GPV, cc)","Square gross payment volume, constant currency",9.18,7.79,7.51,9.8,8.2,9.9,12.0,10.0,11.0,13.0,,
Ecommerce,Amazon (1P + 3P Retail),Online stores + third-party seller services,10.32,7.38,8.37,7.83,5.21,11.18,10.7,10.37,12.68,15.1,,
Ecommerce,Walmart (Global Ecommerce),Global eCommerce sales,21.0,21.0,27.0,16.0,22.0,25.0,27.0,24.0,26.0,23.0,,
Ecommerce,Shopify (GMV),Gross Merchandise Volume,22.77,22.24,24.04,25.74,22.83,30.62,31.98,31.1,34.77,31.57,,
Ecommerce,"Costco (E-commerce, adj.)","Digitally-Enabled comparable sales, adjusted",18.2,20.7,19.5,13.2,22.2,15.7,13.5,20.5,21.7,20.8,,
Retail,"Walmart (SSS US, Ex. Fuel)",Walmart U.S. comp sales ex fuel,3.8,4.2,5.3,4.6,4.5,4.6,4.5,4.6,4.1,2.6,,
Retail,"Costco (SSS, Ex. Fuel)","U.S. comparable sales, adjusted",4.8,6.0,6.3,7.2,8.6,7.9,6.0,5.9,6.4,6.8,,
Retail,Target (SSS),Comparable sales,-3.7,2.0,0.3,1.5,-3.8,-1.9,-2.7,-2.5,5.6,3.8,,
Home Improvement,Home Depot (SSS),Comparable sales,-2.8,-3.3,-1.3,0.8,-0.3,1.0,0.2,0.4,0.6,1.7,,
Home Improvement,Lowe's (SSS),Comparable sales,-4.1,-5.1,-1.1,0.2,-1.7,1.1,0.4,1.3,0.6,0.2,,
